database,year,title,authors,type,journal_or_source,volume,issue,pages,doi,url,other_urls,query
Crossref,1936,"<i>A Documentary History of Primitivism and Related Ideas. Volume I: Primitivism and Related Ideas in Antiquity</i>. Arthur O. Lovejoy , George Boas",George Sarton,journal-article,Isis,25,1,169-172,10.1086/347079,https://doi.org/10.1086/347079,,Arthur O. Lovejoy
Crossref,1949,"Essays in the History of Ideas. By <i>Arthur O. Lovejoy</i>. (Baltimore: Johns Hopkins Press. 1948. Pp. xvii, 359. $5.00.)",Sidney Ratner,journal-article,The American Historical Review,54,4,850-851,10.1086/ahr/54.4.850,https://doi.org/10.1086/ahr/54.4.850,,Arthur O. Lovejoy
Crossref,1937,<i>The Great Chain of Being: A Study of the History of an Idea</i>. Arthur O. Lovejoy,Scott Buchanan,journal-article,The International Journal of Ethics,47,4,486-490,10.1086/intejethi.47.4.2989373,https://doi.org/10.1086/intejethi.47.4.2989373,,Arthur O. Lovejoy
Crossref,1951,"Essays in the History of Ideas. By Arthur O. Lovejoy. (The Johns Hopkins Press, Baltimore; London, Cumberlege. 1948. Pp. 354. Price 27s. 6d.",D. J. Allan,journal-article,Philosophy,26,97,173-176,10.1017/s0031819100026929,https://doi.org/10.1017/s0031819100026929,,Arthur O. Lovejoy
Crossref,1937,<i>The Great Chain of Being: A Study of the History of an Idea</i>. Arthur O. Lovejoy,Bruce W. Brotherston,journal-article,The Journal of Religion,17,2,204-206,10.1086/481966,https://doi.org/10.1086/481966,,Arthur O. Lovejoy
Crossref,1931,The Revolt against Dualism: an Inquiry concerning the Existence of Ideas. By Arthur O. Lovejoy. (London: George Allen &amp; Unwin Ltd.1930. Pp. xii + 325. Price 15s.),L. S. Stebbing,journal-article,Philosophy,6,22,240-242,10.1017/s0031819100045277,https://doi.org/10.1017/s0031819100045277,,Arthur O. Lovejoy
Crossref,1911,"Lovejoy, A. O. Schopenhauer as an Evolutionist",A.O. Lovejoy,journal-article,Kant-Studien,16,1-3,,10.1515/kant-1911-0177,https://doi.org/10.1515/kant-1911-0177,,Arthur O. Lovejoy
Crossref,1911,"Lovejoy, Α. O. Kant and Evolution",A.O. Lovejoy,journal-article,Kant-Studien,16,1-3,,10.1515/kant-1911-0176,https://doi.org/10.1515/kant-1911-0176,,Arthur O. Lovejoy
Crossref,1949,"Arthur O. Lovejoy, <i>Essays in the History of Ideas</i>",René Wellek,journal-article,"The Germanic Review: Literature, Culture, Theory",24,4,306-310,10.1080/19306962.1949.11786443,https://doi.org/10.1080/19306962.1949.11786443,,Arthur O. Lovejoy
Crossref,1919,"Hogs, by A.J. Lovejoy, with supplementary chapters on feeding by John M. Evvard ...",A. J. Lovejoy; John M. Evvard,monograph,,,,,10.5962/bhl.title.20972,https://doi.org/10.5962/bhl.title.20972,,Arthur O. Lovejoy
